day,tmin_c,tmax_c
1,23.7200,29.6533
2,23.7000,29.6567
3,23.3300,29.3333
4,23.1667,29.4033
5,23.4200,30.3433
6,23.1300,29.6100
7,23.2100,28.9733
8,23.1367,29.4800
9,23.1467,29.6700
10,23.0433,29.2867
11,22.9000,29.5733
12,22.8767,29.2967
13,23.0433,29.5533
14,22.7833,29.4133
15,22.6967,29.2500
16,22.2500,29.1467
17,22.3233,28.8767
18,22.2133,28.9200
19,21.9533,28.2833
20,21.7267,28.3700
21,21.1867,28.1667
22,21.0600,28.0667
23,20.9300,27.3867
24,21.0200,27.4767
25,20.4600,27.2000
26,20.5400,27.3433
27,20.4533,26.9500
28,19.9767,27.3733
29,20.3367,27.1333
30,19.6233,26.9867
31,19.8867,27.0800
